COAST,date
10194.6,2024-01-01 05:00:00
10344.87,2024-01-01 06:00:00
10379.99,2024-01-01 07:00:00
10409.82,2024-01-01 08:00:00
10615.38,2024-01-01 09:00:00
10851.98,2024-01-01 10:00:00
11037.48,2024-01-01 11:00:00
11153.52,2024-01-01 12:00:00
11138.28,2024-01-01 13:00:00
11132.89,2024-01-01 14:00:00
11219.91,2024-01-01 15:00:00
11357.37,2024-01-01 16:00:00
11843.42,2024-01-01 17:00:00
12095.19,2024-01-01 18:00:00
12046.07,2024-01-01 19:00:00
11982.72,2024-01-01 20:00:00
11839.35,2024-01-01 21:00:00
11528.26,2024-01-01 22:00:00
11167.11,2024-01-01 23:00:00
10942.11,2024-01-02 00:00:00
10812.57,2024-01-02 01:00:00
10760.42,2024-01-02 02:00:00
10866.23,2024-01-02 03:00:00
11170.62,2024-01-02 04:00:00
11743.53,2024-01-02 05:00:00
12498.12,2024-01-02 06:00:00
12940.49,2024-01-02 07:00:00
13198.53,2024-01-02 08:00:00
13390.77,2024-01-02 09:00:00
13452.06,2024-01-02 10:00:00
13448.31,2024-01-02 11:00:00
13315.75,2024-01-02 12:00:00
13252.83,2024-01-02 13:00:00
13094.92,2024-01-02 14:00:00
13082.36,2024-01-02 15:00:00
13101.7,2024-01-02 16:00:00
13539.68,2024-01-02 17:00:00
13621.87,2024-01-02 18:00:00
13471.65,2024-01-02 19:00:00
13175.86,2024-01-02 20:00:00
12822.87,2024-01-02 21:00:00
12347.5,2024-01-02 22:00:00
11909.31,2024-01-02 23:00:00
11634.19,2024-01-03 00:00:00
11418.28,2024-01-03 01:00:00
11347.98,2024-01-03 02:00:00
11361.37,2024-01-03 03:00:00
11553.8,2024-01-03 04:00:00
12080.32,2024-01-03 05:00:00
12754.4,2024-01-03 06:00:00
13196.85,2024-01-03 07:00:00
13368.72,2024-01-03 08:00:00
13487.66,2024-01-03 09:00:00
13361.12,2024-01-03 10:00:00
13007.47,2024-01-03 11:00:00
12718.42,2024-01-03 12:00:00
12563.27,2024-01-03 13:00:00
12407.94,2024-01-03 14:00:00
12276.71,2024-01-03 15:00:00
12281.99,2024-01-03 16:00:00
12700.77,2024-01-03 17:00:00
13036.05,2024-01-03 18:00:00
13035.14,2024-01-03 19:00:00
12968.89,2024-01-03 20:00:00
12704.77,2024-01-03 21:00:00
12241.84,2024-01-03 22:00:00
11858.65,2024-01-03 23:00:00
11566.61,2024-01-04 00:00:00
11411.73,2024-01-04 01:00:00
11428.47,2024-01-04 02:00:00
11512.39,2024-01-04 03:00:00
11832.96,2024-01-04 04:00:00
12455.87,2024-01-04 05:00:00
13285.91,2024-01-04 06:00:00
13658.66,2024-01-04 07:00:00
13594.7,2024-01-04 08:00:00
13321.67,2024-01-04 09:00:00
13021.83,2024-01-04 10:00:00
12747.36,2024-01-04 11:00:00
12512.68,2024-01-04 12:00:00
12398.27,2024-01-04 13:00:00
12291.31,2024-01-04 14:00:00
12252.61,2024-01-04 15:00:00
12302.78,2024-01-04 16:00:00
12709.69,2024-01-04 17:00:00
12988.58,2024-01-04 18:00:00
12931.55,2024-01-04 19:00:00
12749.33,2024-01-04 20:00:00
12415.02,2024-01-04 21:00:00
11894.2,2024-01-04 22:00:00
