,COAST,date,Farenheit_Temperature,Inches_Rain
0,10194.6,2024-01-01 05:00:00,13.356501,0.3
1,10344.87,2024-01-01 06:00:00,13.4065,0.0
2,10379.99,2024-01-01 07:00:00,14.7565,0.6
3,10409.82,2024-01-01 08:00:00,15.0565,0.2
4,10615.38,2024-01-01 09:00:00,15.7065,0.0
5,10851.98,2024-01-01 10:00:00,15.8065,0.1
6,11037.48,2024-01-01 11:00:00,15.6565,0.1
7,11153.52,2024-01-01 12:00:00,15.7065,0.0
8,11138.28,2024-01-01 13:00:00,16.3065,0.0
9,11132.89,2024-01-01 14:00:00,17.7565,0.0
10,11219.91,2024-01-01 15:00:00,17.9065,0.0
11,11357.37,2024-01-01 16:00:00,17.206501,0.0
12,11843.42,2024-01-01 17:00:00,15.7065,0.0
13,12095.19,2024-01-01 18:00:00,13.8065,0.0
14,12046.07,2024-01-01 19:00:00,12.5565,0.0
15,11982.72,2024-01-01 20:00:00,12.0565,0.0
16,11839.35,2024-01-01 21:00:00,11.1565,0.0
17,11528.26,2024-01-01 22:00:00,10.4065,0.0
18,11167.11,2024-01-01 23:00:00,9.5565,0.0
19,10812.57,2024-01-02 01:00:00,8.0565,0.0
20,10760.42,2024-01-02 02:00:00,7.4564996,0.0
21,10866.23,2024-01-02 03:00:00,6.9065,0.0
22,11170.62,2024-01-02 04:00:00,6.4065,0.0
23,11743.53,2024-01-02 05:00:00,5.9564996,0.0
24,12498.12,2024-01-02 06:00:00,5.6064997,0.0
25,12940.49,2024-01-02 07:00:00,5.2565,0.0
26,13198.53,2024-01-02 08:00:00,5.6064997,0.0
27,13390.77,2024-01-02 09:00:00,7.2565,0.0
28,13452.06,2024-01-02 10:00:00,9.1565,0.0
29,13448.31,2024-01-02 11:00:00,10.7065,0.0
30,13315.75,2024-01-02 12:00:00,12.2065,0.0
31,13252.83,2024-01-02 13:00:00,13.2065,0.0
32,13094.92,2024-01-02 14:00:00,13.7565,0.0
33,13082.36,2024-01-02 15:00:00,13.7565,0.0
34,13101.7,2024-01-02 16:00:00,13.606501,0.4
35,13539.68,2024-01-02 17:00:00,12.5565,1.2
36,13621.87,2024-01-02 18:00:00,11.6565,0.0
37,13471.65,2024-01-02 19:00:00,10.4565,0.3
38,13175.86,2024-01-02 20:00:00,10.0065,0.0
39,12822.87,2024-01-02 21:00:00,10.0565,2.0
40,12347.5,2024-01-02 22:00:00,10.0565,3.8
41,11909.31,2024-01-02 23:00:00,9.4065,4.3
42,11418.28,2024-01-03 01:00:00,9.0065,10.3
43,11347.98,2024-01-03 02:00:00,8.9565,5.3
44,11361.37,2024-01-03 03:00:00,8.606501,0.1
45,11553.8,2024-01-03 04:00:00,8.0565,0.0
46,12080.32,2024-01-03 05:00:00,7.1064997,0.0
47,12754.4,2024-01-03 06:00:00,6.6064997,0.0
48,13196.85,2024-01-03 07:00:00,7.6565,0.0
49,13368.72,2024-01-03 08:00:00,7.9065,0.0
50,13487.66,2024-01-03 09:00:00,8.4065,0.0
51,13361.12,2024-01-03 10:00:00,9.356501,0.0
52,13007.47,2024-01-03 11:00:00,10.5565,0.0
53,12718.42,2024-01-03 12:00:00,12.1565,0.0
54,12563.27,2024-01-03 13:00:00,13.4565,0.0
55,12407.94,2024-01-03 14:00:00,14.4565,0.0
56,12276.71,2024-01-03 15:00:00,14.4065,0.0
57,12281.99,2024-01-03 16:00:00,13.606501,0.0
58,12700.77,2024-01-03 17:00:00,13.0065,0.0
59,13036.05,2024-01-03 18:00:00,11.7065,0.0
60,13035.14,2024-01-03 19:00:00,9.7565,0.0
61,12968.89,2024-01-03 20:00:00,9.2065,0.0
62,12704.77,2024-01-03 21:00:00,8.6565,0.0
63,12241.84,2024-01-03 22:00:00,7.9564996,0.0
64,11858.65,2024-01-03 23:00:00,7.2064996,0.0
65,11411.73,2024-01-04 01:00:00,7.0065,0.0
66,11428.47,2024-01-04 02:00:00,6.2064996,0.0
67,11512.39,2024-01-04 03:00:00,5.7565,0.0
68,11832.96,2024-01-04 04:00:00,5.4065,0.0
69,12455.87,2024-01-04 05:00:00,5.0065,0.0
70,13285.91,2024-01-04 06:00:00,4.8564997,0.0
71,13658.66,2024-01-04 07:00:00,4.5565,0.0
72,13594.7,2024-01-04 08:00:00,5.6064997,0.0
73,13321.67,2024-01-04 09:00:00,8.1565,0.0
74,13021.83,2024-01-04 10:00:00,10.7065,0.0
75,12747.36,2024-01-04 11:00:00,12.856501,0.0
76,12512.68,2024-01-04 12:00:00,14.1565,0.0
77,12398.27,2024-01-04 13:00:00,14.7065,0.0
78,12291.31,2024-01-04 14:00:00,14.856501,0.0
79,12252.61,2024-01-04 15:00:00,14.4065,0.0
80,12302.78,2024-01-04 16:00:00,13.7565,0.0
81,12709.69,2024-01-04 17:00:00,12.7565,0.0
82,12988.58,2024-01-04 18:00:00,11.9565,0.0
83,12931.55,2024-01-04 19:00:00,12.3065,0.0
84,12749.33,2024-01-04 20:00:00,11.9065,0.0
85,12415.02,2024-01-04 21:00:00,11.4065,0.0
86,11894.2,2024-01-04 22:00:00,12.106501,0.0
87,11348.51,2024-01-04 23:00:00,12.2565,0.1
88,10809.16,2024-01-05 01:00:00,12.9565,0.1
89,10692.4,2024-01-05 02:00:00,13.1565,0.1
90,10709.25,2024-01-05 03:00:00,13.2065,0.8
91,10909.67,2024-01-05 04:00:00,13.356501,5.2
92,11363.73,2024-01-05 05:00:00,13.356501,2.7
93,12028.49,2024-01-05 06:00:00,12.8065,10.5
94,12473.77,2024-01-05 07:00:00,14.2065,6.7
95,12751.68,2024-01-05 08:00:00,9.9565,18.6
96,13065.17,2024-01-05 09:00:00,9.606501,9.8
97,13181.95,2024-01-05 10:00:00,10.0565,0.7
98,13072.64,2024-01-05 11:00:00,10.4065,0.2
99,12854.49,2024-01-05 12:00:00,11.5065,0.0
100,12598.95,2024-01-05 13:00:00,14.6565,0.0
101,12393.03,2024-01-05 14:00:00,16.456501,0.0
102,12236.34,2024-01-05 15:00:00,16.9065,0.0
103,12134.82,2024-01-05 16:00:00,16.8565,0.0
104,12365.86,2024-01-05 17:00:00,15.606501,0.0
105,12559.54,2024-01-05 18:00:00,12.356501,0.0
106,12467.65,2024-01-05 19:00:00,11.2065,0.0
107,12390.84,2024-01-05 20:00:00,9.356501,0.0
108,12361.51,2024-01-05 21:00:00,9.4065,0.0
109,12155.56,2024-01-05 22:00:00,8.6565,0.0
110,11889.17,2024-01-05 23:00:00,8.106501,0.0
111,11410.68,2024-01-06 01:00:00,6.3065,0.0
112,11298.96,2024-01-06 02:00:00,6.1565,0.0
113,11329.04,2024-01-06 03:00:00,6.6565,0.0
114,11478.48,2024-01-06 04:00:00,6.6565,0.0
115,11738.68,2024-01-06 05:00:00,5.9564996,0.0
116,12141.68,2024-01-06 06:00:00,5.8065,0.0
117,12427.13,2024-01-06 07:00:00,4.4065,0.0
118,12490.01,2024-01-06 08:00:00,5.7565,0.0
119,12370.29,2024-01-06 09:00:00,8.7565,0.0
120,12134.93,2024-01-06 10:00:00,11.356501,0.0
121,11882.34,2024-01-06 11:00:00,13.2565,0.0
122,11657.36,2024-01-06 12:00:00,14.5565,0.0
123,11431.68,2024-01-06 13:00:00,15.5565,0.0
124,11268.61,2024-01-06 14:00:00,16.1565,0.0
125,11219.21,2024-01-06 15:00:00,16.3565,0.0
126,11180.81,2024-01-06 16:00:00,16.1565,0.0
127,11480.37,2024-01-06 17:00:00,14.606501,0.0
128,11867.08,2024-01-06 18:00:00,11.4565,0.0
129,11849.34,2024-01-06 19:00:00,11.8065,0.0
130,11842.17,2024-01-06 20:00:00,10.6565,0.0
131,11732.77,2024-01-06 21:00:00,9.606501,0.0
132,11559.08,2024-01-06 22:00:00,9.2065,0.0
133,11326.18,2024-01-06 23:00:00,8.7565,0.0
134,10911.53,2024-01-07 01:00:00,7.1064997,0.0
135,10913.52,2024-01-07 02:00:00,6.2064996,0.0
136,10915.43,2024-01-07 03:00:00,6.2565,0.0
137,11061.72,2024-01-07 04:00:00,5.9564996,0.0
138,11313.44,2024-01-07 05:00:00,5.2565,0.0
139,11669.94,2024-01-07 06:00:00,4.6565,0.0
140,11973.57,2024-01-07 07:00:00,4.9065,0.0
141,12224.58,2024-01-07 08:00:00,5.9065,0.0
142,12099.04,2024-01-07 09:00:00,8.856501,0.0
143,11905.05,2024-01-07 10:00:00,11.6565,0.0
144,11733.51,2024-01-07 11:00:00,13.606501,0.0
145,11634.62,2024-01-07 12:00:00,14.856501,0.0
146,11534.87,2024-01-07 13:00:00,15.4565,0.0
147,11466.48,2024-01-07 14:00:00,15.5065,0.0
148,11527.11,2024-01-07 15:00:00,15.2065,0.0
149,11687.85,2024-01-07 16:00:00,14.1565,0.0
150,12158.11,2024-01-07 17:00:00,12.6565,0.0
151,12657.81,2024-01-07 18:00:00,11.356501,0.0
152,12697.99,2024-01-07 19:00:00,10.606501,0.0
153,12546.37,2024-01-07 20:00:00,10.6565,0.0
154,12258.23,2024-01-07 21:00:00,11.356501,0.0
155,11743.25,2024-01-07 22:00:00,11.9565,0.0
156,11296.46,2024-01-07 23:00:00,12.3065,0.0
157,10690.14,2024-01-08 01:00:00,13.9565,0.0
158,10574.54,2024-01-08 02:00:00,14.1565,0.0
159,10536.31,2024-01-08 03:00:00,15.0565,0.0
160,10708.35,2024-01-08 04:00:00,16.2565,0.0
161,11228.2,2024-01-08 05:00:00,16.5065,0.1
162,11875.8,2024-01-08 06:00:00,16.3065,0.5
163,12217.38,2024-01-08 07:00:00,16.0565,1.1
164,12345.71,2024-01-08 08:00:00,16.7565,4.6
165,12416.58,2024-01-08 09:00:00,17.6565,1.9
166,12547.22,2024-01-08 10:00:00,18.4065,0.4
167,12605.76,2024-01-08 11:00:00,19.1565,0.2
168,12630.01,2024-01-08 12:00:00,18.6565,0.6
169,12681.72,2024-01-08 13:00:00,20.8065,0.9
170,12604.62,2024-01-08 14:00:00,23.1565,0.5
171,12577.36,2024-01-08 15:00:00,24.206501,0.6
172,12353.31,2024-01-08 16:00:00,20.5565,2.8
173,12386.04,2024-01-08 17:00:00,14.2565,4.9
174,12483.45,2024-01-08 18:00:00,13.1565,11.9
175,12400.6,2024-01-08 19:00:00,13.4065,0.9
176,12264.3,2024-01-08 20:00:00,13.7065,0.1
177,11955.59,2024-01-08 21:00:00,13.7565,0.4
178,11537.2,2024-01-08 22:00:00,13.106501,0.5
179,11134.49,2024-01-08 23:00:00,11.7065,0.6
180,10903.55,2024-01-09 01:00:00,10.4065,0.3
181,10925.98,2024-01-09 02:00:00,9.106501,0.3
182,11170.35,2024-01-09 03:00:00,7.8065,0.0
183,11619.34,2024-01-09 04:00:00,7.3564997,0.0
184,12518.98,2024-01-09 05:00:00,6.2565,0.0
185,13615.98,2024-01-09 06:00:00,5.9564996,0.0
186,14152.88,2024-01-09 07:00:00,5.6565,0.0
187,14087.47,2024-01-09 08:00:00,5.6565,0.0
188,14010.06,2024-01-09 09:00:00,7.1064997,0.0
189,13927.35,2024-01-09 10:00:00,8.2565,0.0
190,13687.28,2024-01-09 11:00:00,9.3065,0.0
191,13444.19,2024-01-09 12:00:00,10.356501,0.0
192,13223.91,2024-01-09 13:00:00,11.2065,0.0
193,12983.54,2024-01-09 14:00:00,11.7065,0.0
194,12798.61,2024-01-09 15:00:00,12.106501,0.0
195,12765.45,2024-01-09 16:00:00,11.9065,0.0
196,13224.04,2024-01-09 17:00:00,11.106501,0.0
197,13694.87,2024-01-09 18:00:00,9.5065,0.0
198,13791.16,2024-01-09 19:00:00,8.1565,0.0
199,13838.76,2024-01-09 20:00:00,6.5065,0.0
200,13638.33,2024-01-09 21:00:00,5.0565,0.0
201,13253.92,2024-01-09 22:00:00,4.4065,0.0
202,12916.79,2024-01-09 23:00:00,4.1064997,0.0
203,12660.28,2024-01-10 01:00:00,2.7065,0.0
204,12687.16,2024-01-10 02:00:00,2.5065,0.0
205,12820.13,2024-01-10 03:00:00,2.4065,0.0
206,13173.06,2024-01-10 04:00:00,2.2065,0.0
207,13920.5,2024-01-10 05:00:00,2.1065,0.0
208,14881.09,2024-01-10 06:00:00,2.1565,0.0
209,15113.05,2024-01-10 07:00:00,2.4065,0.0
210,14741.65,2024-01-10 08:00:00,4.6565,0.0
211,14158.24,2024-01-10 09:00:00,9.0565,0.0
212,13608.07,2024-01-10 10:00:00,13.0565,0.0
213,13131.56,2024-01-10 11:00:00,16.0065,0.0
214,12744.46,2024-01-10 12:00:00,17.7565,0.0
215,12586.28,2024-01-10 13:00:00,18.8565,0.0
216,12450.02,2024-01-10 14:00:00,19.7565,0.0
217,12329.83,2024-01-10 15:00:00,20.4065,0.0
218,12182.65,2024-01-10 16:00:00,19.706501,0.0
219,12388.96,2024-01-10 17:00:00,18.2565,0.0
220,12675.16,2024-01-10 18:00:00,16.0065,0.0
221,12569.65,2024-01-10 19:00:00,14.5565,0.0
222,12400.39,2024-01-10 20:00:00,13.4065,0.0
223,12103.88,2024-01-10 21:00:00,12.856501,0.0
224,11635.68,2024-01-10 22:00:00,12.8065,0.0
225,11102.92,2024-01-10 23:00:00,12.6565,0.0
226,10566.61,2024-01-11 01:00:00,12.8065,0.0
227,10573.14,2024-01-11 02:00:00,12.9065,0.0
228,10601.47,2024-01-11 03:00:00,12.4565,0.0
229,10813.3,2024-01-11 04:00:00,11.856501,0.0
230,11419.29,2024-01-11 05:00:00,11.7565,0.0
231,12195.77,2024-01-11 06:00:00,12.5065,0.0
232,12488.07,2024-01-11 07:00:00,14.856501,0.0
233,12454.74,2024-01-11 08:00:00,15.4565,0.0
234,12457.59,2024-01-11 09:00:00,17.206501,0.0
235,12443.69,2024-01-11 10:00:00,17.9065,0.1
236,12429.15,2024-01-11 11:00:00,20.5565,0.1
